Month,Year,Average Temperature,Historical Average,Max Temperature,Min Temperature,Historical Max,Historical Min
December,2000,26.54,25.01,32.75,20.19,31.00,19.13
January,2001,26.68,25.74,31.90,21.82,31.68,19.90
February,2001,27.21,26.55,32.61,21.67,32.40,20.83
March,2001,27.59,26.82,33.84,21.91,32.89,20.93
April,2001,26.50,26.07,32.10,21.12,31.79,20.51
May,2001,26.42,25.36,32.38,20.81,31.07,19.80
June,2001,24.73,24.35,30.60,19.16,30.37,18.57
July,2001,23.77,23.57,29.86,18.21,29.32,17.88
August,2001,24.57,23.84,30.59,18.85,29.50,18.12
September,2001,25.83,24.82,31.77,19.90,30.77,18.93
October,2001,26.58,25.42,32.52,20.64,31.12,19.75
November,2001,25.64,24.98,30.94,20.33,30.63,19.29
December,2001,25.74,25.01,31.14,20.04,31.00,19.13
January,2002,26.95,25.74,32.21,21.25,31.68,19.90
February,2002,27.58,26.55,33.30,21.74,32.40,20.83
March,2002,27.75,26.82,33.29,22.31,32.89,20.93
April,2002,26.60,26.07,32.06,21.37,31.79,20.51
May,2002,25.69,25.36,31.11,20.32,31.07,19.80
June,2002,24.69,24.35,30.36,19.06,30.37,18.57
July,2002,24.65,23.57,30.80,18.20,29.32,17.88
August,2002,24.67,23.84,30.34,17.78,29.50,18.12
September,2002,25.88,24.82,31.54,19.32,30.77,18.93
October,2002,26.43,25.42,31.93,19.82,31.12,19.75
November,2002,26.16,24.98,31.91,19.78,30.63,19.29
December,2002,26.02,25.01,31.13,20.48,31.00,19.13
January,2003,26.67,25.74,32.06,20.79,31.68,19.90
February,2003,27.86,26.55,33.77,21.69,32.40,20.83
March,2003,28.05,26.82,34.40,21.60,32.89,20.93
April,2003,27.52,26.07,33.59,21.54,31.79,20.51
May,2003,26.18,25.36,31.64,20.98,31.07,19.80
June,2003,25.30,24.35,31.08,19.55,30.37,18.57
July,2003,24.57,23.57,30.50,18.69,29.32,17.88
August,2003,24.38,23.84,30.18,18.91,29.50,18.12
September,2003,25.83,24.82,31.61,19.76,30.77,18.93
October,2003,26.71,25.42,32.38,20.68,31.12,19.75
November,2003,26.03,24.98,31.28,20.41,30.63,19.29
December,2003,25.51,25.01,31.24,19.73,31.00,19.13
January,2004,27.11,25.74,32.01,21.96,31.68,19.90
February,2004,27.62,26.55,32.83,22.27,32.40,20.83
March,2004,27.88,26.82,33.97,21.72,32.89,20.93
April,2004,26.67,26.07,31.80,21.62,31.79,20.51
May,2004,26.22,25.36,31.87,20.61,31.07,19.80
June,2004,24.72,24.35,30.42,19.19,30.37,18.57
July,2004,24.21,23.57,30.25,18.04,29.32,17.88
August,2004,24.65,23.84,30.37,18.79,29.50,18.12
September,2004,25.81,24.82,31.53,20.13,30.77,18.93
October,2004,26.42,25.42,31.86,20.92,31.12,19.75
November,2004,25.64,24.98,31.10,20.19,30.63,19.29
December,2004,26.18,25.01,31.82,20.31,31.00,19.13
January,2005,27.16,25.74,32.53,20.98,31.68,19.90
February,2005,28.20,26.55,32.99,22.39,32.40,20.83
March,2005,28.41,26.82,33.66,22.90,32.89,20.93
April,2005,27.56,26.07,33.39,22.32,31.79,20.51
May,2005,26.58,25.36,31.89,21.48,31.07,19.80
June,2005,25.23,24.35,30.50,19.95,30.37,18.57
July,2005,24.21,23.57,29.29,19.37,29.32,17.88
August,2005,24.51,23.84,29.89,19.32,29.50,18.12
September,2005,25.51,24.82,31.18,19.94,30.77,18.93
October,2005,26.34,25.42,32.36,20.64,31.12,19.75
November,2005,26.14,24.98,31.79,20.64,30.63,19.29
December,2005,26.69,25.01,32.95,20.33,31.00,19.13
January,2006,26.87,25.74,32.35,20.99,31.68,19.90
February,2006,27.97,26.55,33.47,22.42,32.40,20.83
March,2006,28.22,26.82,33.71,22.77,32.89,20.93
April,2006,26.45,26.07,31.99,21.43,31.79,20.51
